REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812016,"MCL,  AVERAGE",ARSENIC,0.026 MG/L,0.010 MG/L,10/1/14,12/31/14,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812017,"MCL,  AVERAGE",ARSENIC,0.028 MG/L,0.010 MG/L,1/1/15,3/31/15,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812019,"MCL,  AVERAGE",ARSENIC,0.031 MG/L,0.010 MG/L,7/1/15,9/30/15,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812020,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,10/1/15,12/31/15,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812021,"MCL,  AVERAGE",ARSENIC,0.031 MG/L,0.010 MG/L,1/1/16,3/31/16,9819019,8/16/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812021,"MCL,  AVERAGE",ARSENIC,0.031 MG/L,0.010 MG/L,1/1/16,3/31/16,9819022,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812022,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,4/1/16,6/30/16,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812024,"MCL,  AVERAGE",ARSENIC,0.031 MG/L,0.010 MG/L,7/1/16,9/30/16,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812026,"MCL,  AVERAGE",ARSENIC,0.032 MG/L,0.010 MG/L,10/1/16,12/31/16,919011,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812027,"MCL,  AVERAGE",ARSENIC,0.032 MG/L,0.010 MG/L,1/1/17,3/31/17,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812028,"MCL,  AVERAGE",ARSENIC,.031 MG/L,0.010 MG/L,4/1/17,6/30/17,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812029,"MCL,  AVERAGE",ARSENIC,0.031 MG/L,0.010 MG/L,7/1/17,9/30/17,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812031,"MCL,  AVERAGE",ARSENIC,.031 MG/L,0.010 MG/L,10/1/17,12/31/17,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812032,"MCL,  AVERAGE",ARSENIC,0.038 MG/L,0.010 MG/L,1/1/18,3/31/18,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812034,"MCL,  AVERAGE",ARSENIC,0.039 MG/L,0.010 MG/L,4/1/18,6/30/18,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812036,"MCL,  AVERAGE",ARSENIC,0.039 MG/L,0.010 MG/L,7/1/18,9/30/18,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812037,"MCL,  AVERAGE",ARSENIC,0.040 MG/L,0.010 MG/L,10/1/18,12/31/18,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 19 - TEHACHAPI,CA1500571,"LUCKY 18 ON ROSAMOND, LLC",COMMUNITY,73,60,KERN,ROSAMOND,93560,9812038,"MCL,  AVERAGE",ARSENIC,0.033 MG/L, ,1/1/19,3/31/19,9819017,4/25/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,1219018,"MCL, SINGLE SAMPLE",NITRATE,57.00000000 MG/L,45 MG/L,1/1/12,3/31/12,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,1219020,"MCL,  AVERAGE",NITRATE,66.00000000 MG/L,45 MG/L,7/1/12,9/1/12,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912007,"MCL, SINGLE SAMPLE",NITRATE,66.0 MG/L,45 MG/L,10/1/12,12/31/12,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912011,"MCL, SINGLE SAMPLE",NITRATE,62.0 MG/L,45 MG/L,1/1/13,3/31/13,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912012,"MCL, SINGLE SAMPLE",NITRATE,62 MG/L,45 MG/L,4/1/13,6/30/13,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912013,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,10/1/13,12/31/13,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912014,"MCL, SINGLE SAMPLE",NITRATE,63. MG/L,45 MG/L,1/1/14,3/31/14,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912015,"MCL, SINGLE SAMPLE",NITRATE,60.0 MG/L,45 MG/L,4/1/14,6/30/14,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912016,"MCL, SINGLE SAMPLE",NITRATE,59 MG/L,45 MG/L,7/1/14,9/30/14,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912017,"MCL, SINGLE SAMPLE",NITRATE,64 MG/L,45 MG/L,10/1/14,12/31/14,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912018,"MCL, SINGLE SAMPLE",NITRATE,59 MG/L,45 MG/L,1/1/15,3/31/15,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912019,"MCL, SINGLE SAMPLE",NITRATE,67 MG/L,45 MG/L,4/1/15,6/30/15,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912020,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15 MG/L,10 MG/L,7/1/15,9/30/15,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912021,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15 MG/L,10 MG/L,10/1/15,12/31/15,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912022,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15 MG/L,10 MG/L,1/1/16,3/31/16,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912023,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14 MG/L,10 MG/L,4/1/16,6/30/16,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912024,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14 MG/L,10 MG/L,7/1/16,9/30/16,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912025,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14 MG/L,10 MG/L,10/1/16,12/31/16,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912026,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14 MG/L,10 MG/L,1/1/17,3/31/17,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912027,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14 MG/L,10 MG/L,4/1/17,6/30/17,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912028,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14 MG/L,10 MG/L,7/1/17,9/30/17,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912029,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14 MG/L,10 MG/L,10/1/17,12/31/17,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912030,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000084 MG/L,0.000005 MG/L,1/1/18,3/31/18,9919011,2/21/18,CA STATE ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912031,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15 MG/L,10 MG/L,1/1/18,3/31/18,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912032,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15 MG/L,10 MG/L,4/1/18,6/30/18,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912033,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14 MG/L,10 MG/L,7/1/18,9/30/18,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912034,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000169 MG/L,0.000005 MG/L,4/1/18,6/30/18,9919011,2/21/18,CA STATE ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912035,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000226 MG/L,0.000005 MG/L,7/1/18,9/30/18,9919011,2/21/18,CA STATE ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912036,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15 MG/L,10 MG/L,10/1/18,12/31/18,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,COMMUNITY,165,61,KERN,BAKERSFIELD,93387,9912037,"MCL, SINGLE SAMPLE",NITRATE,15 MG/L,10 MG/L,1/1/19,3/31/19,119010,12/1/00,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500584,GOOSELAKE WATER COMPANY,COMMUNITY,90,32,KERN,BAKERSFIELD,93312,9619004,"MCL, SINGLE SAMPLE",NITRATE,47 MG/L,45 MG/L,1/1/14,3/31/14,919014,2/9/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500584,GOOSELAKE WATER COMPANY,COMMUNITY,90,32,KERN,BAKERSFIELD,93312,9619005,"MCL, SINGLE SAMPLE",NITRATE,53 MG/L,45 MG/L,1/1/15,3/31/15,919014,2/9/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500584,GOOSELAKE WATER COMPANY,COMMUNITY,90,32,KERN,BAKERSFIELD,93312,9619006,"MCL, SINGLE SAMPLE",NITRATE,49 MG/L,45 MG/L,4/1/15,6/30/15,919014,2/9/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500584,GOOSELAKE WATER COMPANY,COMMUNITY,90,32,KERN,BAKERSFIELD,93312,9619007,"MCL, SINGLE SAMPLE",NITRATE,12 MG/L,10 MG/L,10/1/15,12/31/15,919014,2/9/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500584,GOOSELAKE WATER COMPANY,COMMUNITY,90,32,KERN,BAKERSFIELD,93312,9619008,"MCL, SINGLE SAMPLE",NITRATE,11 MG/L,10 MG/L,1/1/16,3/31/16,919014,2/9/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500584,GOOSELAKE WATER COMPANY,COMMUNITY,90,32,KERN,BAKERSFIELD,93312,9619009,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000008 MG/L,0.000005 MG/L,10/1/18,12/31/18,9719006,2/7/19,CA STATE ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512002,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,10/1/12,12/31/12,9519006,3/3/15,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512002,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,10/1/12,12/31/12,919013,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512004,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,1/1/13,3/31/13,919013,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512004,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,1/1/13,3/31/13,9519006,3/3/15,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512005,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,4/1/13,6/30/13,919013,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512005,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,4/1/13,6/30/13,9519006,3/3/15,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512006,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,7/1/13,9/30/13,919013,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512006,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,7/1/13,9/30/13,9519006,3/3/15,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512007,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,10/1/13,12/31/13,9519006,3/3/15,STATE INTENTIONAL NO ACTION TAKEN
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512007,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,10/1/13,12/31/13,919013,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512008,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,1/1/14,3/31/14,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512008,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,1/1/14,3/31/14,919013,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512009,"MCL,  AVERAGE",ARSENIC,0.0107 MG/L,0.010 MG/L,10/1/14,12/31/14,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512010,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,1/1/15,3/31/15,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512011,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,4/1/15,6/30/15,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512012,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,7/1/15,9/30/15,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512014,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,10/1/15,12/31/15,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512015,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,4/1/16,6/30/16,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512016,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,7/1/16,9/30/16,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512017,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,1/1/17,3/31/17,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512018,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,4/1/17,6/30/17,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512019,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,7/1/17,9/30/17,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512020,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,10/1/17,12/31/17,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512021,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,1/1/18,3/31/18,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512022,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,4/1/18,6/30/18,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512023,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,7/1/18,9/30/18,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512024,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,10/1/18,12/31/18,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,COMMUNITY,100,39,KERN,BAKERSFIELD,93307,9512025,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,1/1/19,3/31/19,9519007,3/3/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA1500588,SON SHINE PROPERTIES,COMMUNITY,438,106,KERN,EDISON,93220,1219018,"MCL, SINGLE SAMPLE",NITRATE,53.00000000 MG/L,45 MG/L,4/1/12,6/30/12,1219010,7/3/12,FORMAL ENFORCEMENT ACTION ISSUED
